method,metric,point,lower,upper,confidence_level,bootstrap_resamples
quantum,balanced_accuracy,0.9527777777777777,0.9333333333333332,0.9708333333333333,0.95,2000
quantum,macro_f1,0.9523190591435678,0.9312367321933587,0.9707189060134713,0.95,2000
rbf_svc,balanced_accuracy,0.9569444444444444,0.9444444444444443,0.9694444444444443,0.95,2000
rbf_svc,macro_f1,0.9567813844770365,0.9428287515222301,0.9693573071855682,0.95,2000
mlp_11_parameter,balanced_accuracy,0.975,0.9638888888888888,0.986111111111111,0.95,2000
mlp_11_parameter,macro_f1,0.9749029762508024,0.9623761840816191,0.9860723624201885,0.95,2000
rff_256,balanced_accuracy,0.9472222222222222,0.9291666666666666,0.9652777777777776,0.95,2000
rff_256,macro_f1,0.9468251474773214,0.9282118670379542,0.9650906174743131,0.95,2000
gradient_boosting,balanced_accuracy,0.9805555555555555,0.9708333333333332,0.9902777777777776,0.95,2000
gradient_boosting,macro_f1,0.980477956825783,0.9706804499847979,0.9902462754636667,0.95,2000
